lat,lon,time range,mmsi,entry timestamp,exit timestamp,apparent fishing hours
-7.5,-79.699997,2023-01,760003490,2023-01-01T09:00:00Z,2023-03-31T03:00:00Z,5.07
-8.1,-79.400002,2023-01,760000014,2023-01-01T01:00:00Z,2023-03-23T20:00:00Z,4.76
-7.5,-79.900002,2023-01,760000170,2023-01-01T19:00:00Z,2023-02-11T16:00:00Z,1.54
-8.2,-79.099998,2023-01,760003550,2023-01-01T00:00:00Z,2023-03-26T04:00:00Z,0.41
-8.6,-79.099998,2023-01,760000060,2023-01-01T08:00:00Z,2023-03-31T23:00:00Z,0.3
-8.2,-79.300003,2023-01,760015260,2023-01-01T10:00:00Z,2023-03-03T23:00:00Z,2.38
-7,-79.900002,2023-01,760003490,2023-01-01T09:00:00Z,2023-03-31T03:00:00Z,1.16
-7.6,-79.800003,2023-01,760003490,2023-01-01T09:00:00Z,2023-03-31T03:00:00Z,0.03
-11.1,-78.099998,2023-01,760004712,2023-01-01T01:00:00Z,2023-03-25T12:00:00Z,0.38
-7.2,-79.800003,2023-01,760000620,2023-01-02T01:00:00Z,2023-03-31T23:00:00Z,3.78
-13.3,-76.599998,2023-01,760654046,2023-01-01T00:00:00Z,2023-02-01T18:00:00Z,2.41
-7.3,-79.699997,2023-01,760018517,2023-01-01T08:00:00Z,2023-03-19T12:00:00Z,1.43
-8.2,-79.199997,2023-01,760005276,2023-01-01T21:00:00Z,2023-02-11T20:00:00Z,7.17
-18.3,-70.699997,2023-01,789564123,2023-01-01T11:00:00Z,2023-02-26T13:00:00Z,3.31
-8,-79.599998,2023-01,760110077,2023-01-01T08:00:00Z,2023-02-05T17:00:00Z,1.3
-7.4,-79.699997,2023-01,760028711,2023-01-01T09:00:00Z,2023-03-27T04:00:00Z,2.97
-6.9,-80.5,2023-01,760003390,2023-01-01T08:00:00Z,2023-03-22T07:00:00Z,2.14
-12.2,-77.199997,2023-01,760027200,2023-01-03T12:00:00Z,2023-02-12T22:00:00Z,1.15
-12,-77.199997,2023-03,760010447,2023-01-01T03:00:00Z,2023-03-17T21:00:00Z,0.08
-15.4,-77.199997,2023-02,760018644,2023-01-01T09:00:00Z,2023-03-31T23:00:00Z,4.07
-8.1,-79.400002,2023-01,760003380,2023-01-01T00:00:00Z,2023-03-20T05:00:00Z,3.79
-8,-79.5,2023-01,12432,2023-01-01T12:00:00Z,2023-02-07T20:00:00Z,0.29
-10.9,-77.800003,2023-01,760000233,2023-01-01T10:00:00Z,2023-02-23T02:00:00Z,3.14
-7.3,-79.699997,2023-01,760001111,2023-01-01T07:00:00Z,2023-03-07T16:00:00Z,1.2
-14.9,-75.900002,2023-01,760000110,2023-01-01T06:00:00Z,2023-03-18T16:00:00Z,2.01
-7.5,-79.800003,2023-01,100007791,2023-01-03T09:00:00Z,2023-03-19T15:00:00Z,0.28
-7.1,-79.900002,2023-01,760000770,2023-01-05T02:00:00Z,2023-03-13T01:00:00Z,1.41
-6.6,-80.699997,2023-01,760003470,2023-01-01T07:00:00Z,2023-03-29T19:00:00Z,3.88
-8.3,-79.099998,2023-01,760115435,2023-01-01T15:00:00Z,2023-02-05T17:00:00Z,0.48
-13.4,-76.400002,2023-01,760001350,2023-01-10T07:00:00Z,2023-02-01T10:00:00Z,9.7
-6.4,-80.900002,2023-01,760011391,2023-01-01T23:00:00Z,2023-03-31T15:00:00Z,0.07
-12.9,-76.800003,2023-01,760027200,2023-01-03T12:00:00Z,2023-02-12T22:00:00Z,2.39
-8.4,-79.099998,2023-01,760033663,2023-01-01T05:00:00Z,2023-02-23T13:00:00Z,8.37
-6.7,-80.800003,2023-01,760003460,2023-01-01T08:00:00Z,2023-02-09T14:00:00Z,9.27
-8.9,-79.900002,2023-01,760038248,2023-01-01T00:00:00Z,2023-02-10T19:00:00Z,2.7
-8.1,-79.599998,2023-02,760003490,2023-01-01T09:00:00Z,2023-03-31T03:00:00Z,2.13
-15.2,-77.599998,2023-02,760002911,2023-01-01T07:00:00Z,2023-03-20T10:00:00Z,2.36
-12.6,-76.800003,2023-02,760014268,2023-01-01T07:00:00Z,2023-02-05T17:00:00Z,3.88
