lat,lon,time range,flag,vessel ids,apparent fishing hours
-7,-80.5,2023-01,PER,8,26.39
-15.9,-76.1,2023-03,NA,1,8.3
-9.2,-80.1,2023-03,PER,1,1.34
-14.6,-76.1,2023-01,PER,8,10.82
-13.8,-76.3,2023-01,NA,1,0.18
-11.8,-77.6,2023-01,PER,12,16.18
-7.7,-79.8,2023-03,PER,1,0.36
-17.6,-71.6,2023-01,PER,1,0.28
-3.7,-81.4,2023-03,ECU,1,0.99
-7.7,-80.7,2023-03,PER,1,2.82
-16,-78.6,2023-03,NA,1,6.54
-15.3,-77.1,2023-02,PER,10,44.13
-7.3,-83.6,2023-03,ECU,1,8.81
-15.3,-77.4,2023-03,PER,9,26.28
-14.6,-77,2023-03,PER,16,60.57
-16.7,-78.2,2023-03,ECU,2,9.88
-13.3,-76.8,2023-02,PER,1,4.29
-14.1,-76.6,2023-02,NA,1,3.07
-14.9,-77.1,2023-03,PER,1,0.17
-12.4,-77.6,2023-03,PER,1,1.18
-6.5,-80.9,2023-01,PER,12,25.9
-12,-77.3,2023-01,NA,6,19.21
-7.4,-79.8,2023-02,PER,13,25.4
-11.2,-78.3,2023-01,PER,1,2.09
-11.1,-78.1,2023-01,AIA,1,0.42
-14,-76.6,2023-01,NA,1,2.72
-6.7,-80.5,2023-03,PER,1,7.35
-13,-76.7,2023-03,PER,1,0.42
-11.4,-77.7,2023-01,PER,1,0.08
-13.6,-76.8,2023-01,NA,1,3.95
-16,-77.8,2023-02,ECU,1,0.99
-4.2,-81.7,2023-02,PER,1,0.35
-12,-77.3,2023-03,PER,8,11.56
-3.8,-80.9,2023-02,PER,1,0.54
-12.8,-77.5,2023-02,PER,3,3.38
-13,-76.7,2023-01,NA,2,4.07
-14,-76.6,2023-03,PER,2,16.87
-13.8,-76.7,2023-01,PER,16,24.71
-12,-77.5,2023-02,NA,2,4.78
-10.9,-78.3,2023-01,PER,2,1.22
-9.3,-78.7,2023-01,NA,3,4.91
-12.2,-77.2,2023-01,NA,5,34.99
-8.5,-79.5,2023-02,PER,2,3.87
-10.3,-78.9,2023-02,PER,1,0.15
-17.3,-71.9,2023-01,NA,2,5.74
-13.7,-77.9,2023-02,PER,1,0.58
-9.5,-78.7,2023-01,PER,2,4.48
-15.2,-77.4,2023-02,PER,4,11.14
-8.1,-79.2,2023-01,PER,37,47.77
-6.1,-83,2023-01,PAN,1,1.63
-4.3,-82.3,2023-02,PER,1,1.82
-12.3,-79.5,2023-02,PER,1,3.96
-3.5,-81.4,2023-02,PER,1,0.17
-8.3,-79.3,2023-03,PER,1,0.39
-15.1,-75.9,2023-03,PER,1,1.56
-7.1,-81.4,2023-03,ECU,1,2
-12,-77.7,2023-01,PER,3,0.77
-10.7,-78.1,2023-03,PER,1,2.43
-17,-78.1,2023-02,NA,1,4.14
-6.8,-80.4,2023-03,PER,1,2.05
-11.7,-77.9,2023-02,ECU,1,1.01
