lat,lon,time range,flag,geartype,vessel ids,apparent fishing hours
-11.9,-77.3,2023-01,SSD,tuna_purse_seines,1,3.68
-8.4,-79,2023-01,PER,purse_seines,1,1.53
-14.5,-76.4,2023-03,NA,pole_and_line,1,6.28
-15.6,-77.5,2023-02,PER,tuna_purse_seines,1,0.58
-9.4,-78.7,2023-02,PER,tuna_purse_seines,1,0.61
-12.7,-77.7,2023-02,PER,other_purse_seines,1,1.46
-14.4,-76.9,2023-01,PER,set_gillnets,1,14.77
-8.5,-79,2023-01,NA,other_purse_seines,1,0.25
-5.5,-81.8,2023-02,PER,other_purse_seines,1,0.69
-12.3,-78.7,2023-02,PER,other_purse_seines,1,4.28
-12.4,-77.6,2023-03,PER,other_purse_seines,1,1.18
-18,-71.1,2023-01,PER,other_purse_seines,2,10.86
-16,-78.6,2023-03,NA,purse_seines,1,6.54
-11.5,-77.5,2023-01,NA,other_purse_seines,4,10.52
-15.1,-75.6,2023-01,PER,purse_seines,1,1.29
-9.1,-78.8,2023-01,HND,other_purse_seines,1,0.35
-9.7,-80.3,2023-01,PER,tuna_purse_seines,1,4.17
-16.6,-77.9,2023-03,PER,tuna_purse_seines,1,11.09
-10,-78.7,2023-03,PER,fishing,1,2.26
-7.8,-79.7,2023-03,PER,other_purse_seines,1,5.56
-11.1,-78,2023-02,PER,other_purse_seines,1,0.55
-6.8,-80.3,2023-01,NA,other_purse_seines,1,0.99
-15.4,-76.5,2023-03,PER,other_purse_seines,2,3.32
-10.4,-80.6,2023-02,PER,tuna_purse_seines,1,4.34
-17.2,-78.2,2023-02,NA,purse_seines,1,12.14
-6.7,-80.4,2023-01,PER,tuna_purse_seines,4,13.05
-17.8,-71.5,2023-02,PER,other_purse_seines,4,11.04
-15.5,-77.9,2023-02,PER,tuna_purse_seines,1,0.8
-7.8,-79.7,2023-02,PER,fishing,2,6.04
-7,-80.6,2023-01,PER,tuna_purse_seines,3,7.53
-17.7,-76.6,2023-03,NA,purse_seines,1,0.05
-8.7,-79.4,2023-01,PER,other_purse_seines,1,0.28
-11.5,-77.8,2023-01,PER,set_longlines,1,10.01
-11.1,-77.6,2023-02,PER,other_purse_seines,1,1.83
-10.9,-77.9,2023-01,PER,purse_seines,3,2.01
-4.6,-82.1,2023-02,PER,other_purse_seines,1,2.41
-9.8,-78.5,2023-02,PER,other_purse_seines,2,1.1
-7.9,-79.7,2023-02,NA,other_purse_seines,1,1.22
-12.9,-79.5,2023-03,PER,fishing,1,1.37
-16,-79.2,2023-03,ECU,tuna_purse_seines,1,1.85
-15.6,-78,2023-03,ECU,tuna_purse_seines,1,1.19
-9.7,-79.6,2023-02,PER,other_purse_seines,1,0.32
-13.1,-77.9,2023-01,PER,fishing,1,3.04
-6.8,-80.4,2023-01,PER,tuna_purse_seines,7,18.58
-16.4,-76.8,2023-03,PER,tuna_purse_seines,1,0.5
-13.4,-79.3,2023-03,ESP,drifting_longlines,1,1.94
-15,-76.9,2023-03,PER,pole_and_line,1,2.24
-18.1,-70.9,2023-01,NA,other_purse_seines,1,3.11
-12.1,-77.3,2023-01,PER,pole_and_line,1,5.93
-9.1,-78.9,2023-01,PER,other_purse_seines,5,5.75
-7.5,-80.4,2023-03,PER,other_purse_seines,1,3.9
-16.7,-76.8,2023-03,PER,tuna_purse_seines,2,20.62
-7.7,-79.4,2023-01,PER,other_purse_seines,13,31.25
-14.9,-75.9,2023-01,PER,purse_seines,1,2.43
-7.7,-79.7,2023-02,PER,tuna_purse_seines,1,2.13
-10.5,-78.1,2023-01,PER,other_purse_seines,9,13.1
-14.8,-77.2,2023-02,PER,pole_and_line,1,0.95
-9,-80.4,2023-03,PER,other_purse_seines,6,9.25
-5.1,-81.1,2023-01,ESP,drifting_longlines,1,0.95
-7.3,-80.3,2023-01,PER,tuna_purse_seines,1,2.05
-14.7,-77.5,2023-02,PER,pole_and_line,1,5.39
-17.9,-71.2,2023-01,NA,other_purse_seines,1,0.18
-14.3,-77,2023-01,PER,set_gillnets,1,6.64
-6.6,-80.5,2023-01,PER,purse_seines,2,5.26
-8.9,-78.9,2023-01,PER,other_purse_seines,1,0.27
-15.2,-77.4,2023-02,PER,fishing,1,3.94
-10.8,-77.8,2023-01,PER,other_purse_seines,7,4.48
-7.8,-79.6,2023-02,PER,other_purse_seines,30,72.84
-13.8,-78.2,2023-02,PER,other_purse_seines,5,19.69
-12.5,-77,2023-01,PER,tuna_purse_seines,1,1.36
-13.9,-77.1,2023-03,PER,other_purse_seines,1,2.32
-12.9,-76.7,2023-01,PER,inconclusive,1,11.91
-12.6,-77,2023-01,PER,pole_and_line,2,7.39
-14.8,-75.9,2023-01,PER,other_purse_seines,7,9.38
-14.3,-77.7,2023-02,PER,pole_and_line,1,7.12
-6.6,-80.3,2023-01,PER,purse_seines,1,1.33
-16.8,-77.3,2023-03,PER,tuna_purse_seines,1,2.17
-15.7,-78,2023-03,ECU,tuna_purse_seines,1,2
-6.6,-80.9,2023-01,PER,purse_seines,2,2.85
-11.5,-77.5,2023-01,PER,other_purse_seines,18,39.88
-9.3,-80.1,2023-03,PER,other_purse_seines,6,19.14
-10.8,-78.4,2023-01,PER,other_purse_seines,1,2.97
-6.7,-80.6,2023-03,PER,other_purse_seines,1,3.62
